FSR_1,FSR_2,FSR_3,FSR_4,FSR_5,Target
297,35,239,174,155,moderate
153,140,17,98,112,moderate
240,122,3,100,204,moderate
13,23,272,164,286,moderate
4,229,25,53,140,mild
135,162,299,175,9,moderate
115,136,290,261,114,moderate
125,60,132,205,20,moderate
59,123,266,272,84,moderate
207,175,62,199,227,moderate
84,205,52,259,226,moderate
6,15,210,141,275,moderate
294,132,54,83,284,moderate
167,181,121,186,140,moderate
62,35,98,60,230,mild
7,176,91,234,99,moderate
214,285,293,29,256,severe
112,256,280,85,42,moderate
232,266,114,146,208,moderate
72,231,19,266,43,moderate
53,14,139,188,80,mild
135,10,134,17,79,mild
254,101,277,79,254,moderate
265,265,270,49,55,moderate
14,178,72,146,83,mild
193,206,117,214,165,moderate
238,210,151,166,156,moderate
133,235,246,243,19,moderate
3,152,4,6,280,mild
228,296,247,245,175,severe
69,191,247,20,103,moderate
214,57,45,238,43,moderate
90,297,262,118,268,severe
249,256,8,44,49,moderate
81,11,207,290,222,moderate
184,83,3,0,15,mild
240,274,270,44,239,severe
36,144,295,279,143,moderate
54,274,40,7,154,moderate
155,88,14,228,57,moderate
80,129,168,270,196,moderate
11,125,65,180,68,mild
65,33,121,145,258,moderate
166,299,272,47,231,severe
175,219,75,232,99,moderate
202,181,38,132,56,moderate
179,6,294,252,197,moderate
235,266,43,138,141,moderate
156,260,238,145,271,severe
12,55,156,265,18,moderate
154,203,255,27,79,moderate
149,52,201,273,69,moderate
127,80,255,274,284,severe
299,238,159,222,214,severe
124,183,221,194,52,moderate
255,6,174,100,68,moderate
76,42,138,49,145,mild
148,158,54,209,172,moderate
278,6,237,1,181,moderate
114,159,244,164,239,moderate
170,165,41,194,261,moderate
147,177,141,16,70,moderate
29,90,222,156,183,moderate
188,194,219,74,53,moderate
293,218,240,224,52,severe
248,116,232,130,284,severe
107,243,5,89,238,moderate
135,97,134,271,165,moderate
83,99,272,241,289,moderate
260,122,181,276,27,moderate
290,37,280,13,248,moderate
52,59,80,252,210,moderate
126,56,153,165,79,moderate
15,274,219,136,146,moderate
204,245,95,180,285,severe
6,268,44,43,124,mild
84,42,292,288,134,moderate
110,101,52,208,53,moderate
181,115,28,279,8,moderate
281,139,106,234,163,moderate
8,172,161,272,121,moderate
233,259,49,282,174,moderate
251,166,291,108,190,severe
12,90,59,52,281,mild
295,78,14,78,6,mild
102,190,266,201,143,moderate
69,151,34,177,33,mild
160,209,219,250,160,moderate
178,45,96,122,184,moderate
85,8,282,134,195,moderate
135,218,233,9,22,moderate
37,63,268,164,61,moderate
173,264,291,70,98,moderate
145,12,123,72,31,mild
233,22,145,276,136,moderate
26,91,148,287,217,moderate
218,261,8,139,84,moderate
1,65,145,55,243,moderate
235,97,52,43,238,moderate
140,271,180,231,171,moderate
251,249,109,92,75,moderate
289,229,214,6,282,severe
34,129,37,298,19,moderate
281,255,84,139,125,moderate
248,281,136,264,61,moderate
100,42,217,200,122,moderate
44,39,243,215,285,moderate
219,292,275,220,209,severe
232,32,1,134,69,mild
243,213,267,150,222,severe
113,217,180,295,214,severe
266,76,120,107,165,moderate
142,256,119,73,41,moderate
109,94,179,213,132,moderate
283,283,290,152,230,severe
127,150,95,274,85,moderate
215,137,271,218,4,moderate
149,256,32,237,22,moderate
102,28,254,209,110,moderate
199,78,64,164,130,moderate
117,222,27,166,263,moderate
36,135,53,40,113,mild
15,194,239,296,67,moderate
257,105,55,174,119,moderate
139,13,59,112,156,mild
286,80,247,77,237,moderate
188,160,183,38,82,moderate
57,220,274,61,14,moderate
159,165,243,131,207,moderate
174,281,126,136,94,moderate
195,1,53,9,236,mild
22,194,200,230,225,moderate
121,164,31,218,265,moderate
183,61,82,277,38,moderate
266,84,63,237,50,moderate
130,61,210,31,132,moderate
236,161,291,289,264,severe
288,137,105,270,141,moderate
70,209,283,285,68,moderate
39,48,286,112,286,moderate
201,198,64,191,247,moderate
259,29,135,96,21,moderate
33,146,23,62,74,mild
207,31,96,298,142,moderate
264,262,247,53,236,severe
279,293,121,69,102,moderate
155,73,1,32,130,mild
128,192,220,169,155,moderate
243,82,78,71,260,moderate
200,283,77,252,279,severe
11,211,274,9,240,moderate
210,207,24,219,22,moderate
98,164,193,13,3,mild
198,13,293,193,186,moderate
28,39,78,41,252,mild
102,197,74,178,193,moderate
212,286,21,112,294,moderate
154,122,7,113,239,moderate
198,256,130,230,222,severe
160,144,67,211,1,moderate
66,215,252,289,152,moderate
259,85,28,151,0,moderate
281,172,151,6,219,moderate
248,278,11,205,250,moderate
53,18,21,90,72,mild
78,26,126,93,204,moderate
124,11,166,185,251,moderate
80,106,174,213,294,moderate
155,216,103,183,131,moderate
244,255,119,3,28,moderate
4,202,289,228,170,moderate
50,209,110,228,126,moderate
69,273,129,278,99,moderate
18,252,57,208,48,moderate
262,64,273,236,88,moderate
4,85,228,186,200,moderate
232,155,254,25,37,moderate
83,79,27,86,161,mild
27,109,153,248,80,moderate
227,174,219,10,130,moderate
61,83,146,162,177,moderate
186,14,15,101,61,mild
160,158,151,145,191,moderate
108,43,151,250,185,moderate
217,187,91,176,269,moderate
217,118,83,118,69,moderate
202,246,209,72,227,moderate
266,182,207,56,127,moderate
214,197,28,123,89,moderate
202,229,169,200,195,moderate
80,99,31,81,78,mild
137,27,22,135,54,mild
272,64,197,48,45,moderate
256,182,288,192,247,severe
239,260,110,202,200,severe
73,73,122,122,265,moderate
47,45,121,297,265,moderate
217,59,207,274,199,moderate
232,94,101,130,278,moderate
144,84,157,293,9,moderate
62,57,20,48,38,mild
298,180,36,205,140,moderate
178,107,219,285,190,moderate
20,263,195,292,180,moderate
297,82,287,63,223,moderate
206,159,66,72,209,moderate
126,178,63,46,103,moderate
29,2,292,137,25,mild
91,298,210,61,163,moderate
222,36,161,272,168,moderate
216,153,251,253,186,severe
221,176,99,83,33,moderate
212,62,10,147,287,moderate
263,157,226,158,199,severe
150,162,184,81,192,moderate
88,296,234,162,178,moderate
85,217,204,49,265,moderate
8,284,215,2,198,moderate
281,130,234,147,128,moderate
115,201,215,258,67,moderate
69,229,117,195,154,moderate
53,43,0,131,128,mild
95,85,169,31,250,moderate
150,220,71,283,228,moderate
253,151,260,16,272,moderate
131,252,8,142,150,moderate
255,167,136,51,224,moderate
209,185,252,130,11,moderate
50,203,296,240,283,severe
159,159,139,73,163,moderate
71,167,93,268,256,moderate
112,2,187,3,235,moderate
295,78,289,272,98,severe
133,127,154,235,99,moderate
100,265,36,111,251,moderate
197,13,107,100,79,mild
52,153,126,83,58,mild
193,62,59,259,226,moderate
255,247,271,250,275,severe
117,72,127,285,26,moderate
299,150,228,186,24,moderate
3,176,232,136,252,moderate
18,25,80,167,218,moderate
235,238,114,222,225,severe
163,92,213,54,125,moderate
32,183,212,148,150,moderate
67,153,21,64,89,mild
24,229,289,169,163,moderate
247,184,93,150,211,moderate
186,123,178,218,259,moderate
100,74,277,50,234,moderate
154,37,290,168,229,moderate
241,275,271,280,213,severe
212,82,44,85,190,moderate
239,229,23,81,68,moderate
35,135,111,183,289,moderate
212,99,230,249,225,severe
251,283,151,172,42,moderate
159,81,296,220,48,moderate
38,129,149,225,164,moderate
209,198,246,177,103,moderate
83,229,211,93,194,moderate
265,82,104,102,4,moderate
249,51,88,287,64,moderate
86,289,42,170,112,moderate
44,18,38,197,278,moderate
231,247,224,183,100,moderate
196,66,143,113,36,moderate
103,104,96,263,194,moderate
222,76,144,94,23,moderate
290,178,16,217,247,moderate
189,267,243,36,64,moderate
232,186,182,19,5,moderate
43,9,190,120,211,moderate
294,219,20,170,80,moderate
183,112,156,58,166,moderate
64,45,270,66,235,moderate
18,296,91,142,1,moderate
11,41,251,195,123,moderate
182,83,105,157,86,moderate
179,291,28,295,87,moderate
114,138,29,88,40,mild
276,49,32,33,276,moderate
202,174,280,173,118,moderate
124,191,11,127,249,moderate
53,243,236,261,290,severe
152,140,201,196,118,moderate
188,25,2,39,18,mild
4,284,234,198,112,moderate
146,40,274,17,25,moderate
200,210,157,221,205,moderate
71,219,199,245,187,moderate
104,9,144,294,190,moderate
60,161,44,236,133,moderate
75,21,167,260,206,moderate
35,27,186,89,41,mild
21,214,181,137,129,moderate
268,190,183,253,135,severe
166,73,194,222,192,moderate
12,153,40,191,56,mild
178,158,285,274,223,severe
166,274,193,272,153,severe
81,224,228,12,105,moderate
274,165,35,3,140,moderate
124,49,234,47,133,moderate
197,158,149,200,223,moderate
24,11,190,80,214,moderate
276,107,129,287,291,severe
104,232,242,244,252,severe
255,284,139,31,288,moderate
248,91,14,280,6,moderate
149,288,55,269,110,moderate
274,66,171,282,67,moderate
58,77,155,52,241,moderate
179,180,190,25,25,moderate
238,295,97,31,201,moderate
129,28,209,115,114,moderate
66,206,129,228,187,moderate
176,143,126,56,15,moderate
244,260,14,254,53,moderate
293,10,7,176,215,moderate
231,114,171,186,75,moderate
28,190,128,98,91,moderate
151,84,104,111,126,moderate
192,175,265,224,226,severe
252,94,27,167,172,moderate
271,29,89,164,95,moderate
79,235,32,156,95,moderate
149,124,103,87,152,moderate
282,44,125,145,51,moderate
296,152,157,248,150,severe
273,63,48,133,167,moderate
189,248,217,67,157,moderate
12,159,289,176,285,moderate
40,269,18,197,90,moderate
233,247,142,138,141,moderate
24,284,89,273,230,moderate
286,290,50,216,270,severe
115,115,203,115,68,moderate
290,20,31,204,221,moderate
72,74,201,78,257,moderate
163,288,92,127,88,moderate
217,231,2,103,2,moderate
144,203,177,272,248,severe
283,228,117,133,276,severe
129,31,90,178,46,mild
112,137,88,227,207,moderate
221,134,107,117,57,moderate
253,138,38,253,47,moderate
212,230,77,278,152,moderate
8,209,38,173,256,moderate
190,185,197,154,15,moderate
184,1,298,240,209,moderate
33,210,71,186,265,moderate
242,201,230,75,37,moderate
13,116,6,218,189,moderate
209,220,247,295,8,moderate
123,274,79,120,80,moderate
233,19,19,275,89,moderate
57,184,53,213,58,moderate
8,218,298,95,32,moderate
98,120,190,138,118,moderate
229,80,198,190,260,moderate
253,227,210,193,2,moderate
36,180,79,261,34,moderate
153,24,80,274,40,moderate
82,73,69,97,273,moderate
205,0,286,52,157,moderate
226,57,30,211,27,moderate
210,234,287,63,100,moderate
244,274,150,52,199,moderate
142,285,171,158,204,moderate
246,11,104,208,208,moderate
97,289,197,10,91,moderate
282,281,264,254,181,severe
5,78,57,74,191,mild
113,115,104,17,163,moderate
176,14,115,144,122,moderate
288,249,252,177,34,severe
183,105,40,195,34,moderate
166,191,275,239,192,severe
117,188,102,0,219,moderate
87,119,285,270,293,severe
177,241,175,197,67,moderate
162,156,157,57,2,moderate
222,286,34,52,117,moderate
202,14,139,226,53,moderate
279,101,298,156,116,moderate
205,215,5,148,240,moderate
274,224,72,292,251,severe
94,60,199,186,243,moderate
294,194,178,24,111,moderate
47,160,111,55,122,mild
287,119,138,46,273,moderate
208,222,114,11,46,moderate
84,26,63,160,180,moderate
82,236,198,99,155,moderate
284,283,172,187,284,severe
91,85,154,268,176,moderate
135,49,121,221,198,moderate
156,192,135,100,103,moderate
73,153,278,199,20,moderate
64,80,218,33,205,moderate
95,56,214,33,134,moderate
230,103,175,58,34,moderate
6,254,201,234,237,moderate
93,213,265,43,175,moderate
115,206,106,125,8,moderate
90,202,246,91,284,moderate
68,57,137,231,272,moderate
186,140,132,219,228,moderate
146,217,188,91,59,moderate
7,156,9,259,293,moderate
28,155,2,12,294,mild
96,117,111,87,286,moderate
23,36,18,214,78,mild
135,255,271,236,267,severe
245,171,278,276,34,severe
145,86,63,158,31,mild
285,178,113,44,39,moderate
57,196,74,148,127,moderate
30,292,220,146,176,moderate
170,251,173,95,66,moderate
210,293,283,91,203,severe
172,76,174,176,263,moderate
124,243,286,7,182,moderate
90,231,270,197,118,moderate
31,164,75,273,38,moderate
115,278,281,81,149,moderate
221,80,129,211,160,moderate
175,56,262,208,107,moderate
243,153,140,78,70,moderate
109,223,132,125,297,moderate
136,81,183,251,229,moderate
247,24,214,239,186,moderate
102,128,268,14,38,moderate
170,27,266,213,236,moderate
248,125,91,2,47,moderate
129,117,182,41,281,moderate
221,198,157,202,104,moderate
152,290,48,270,249,severe
106,95,279,215,294,moderate
70,108,201,261,17,moderate
230,167,164,35,226,moderate
43,165,239,21,35,moderate
80,189,286,243,116,moderate
18,92,64,273,101,moderate
125,67,127,211,13,moderate
97,121,40,175,65,mild
169,144,42,220,134,moderate
118,139,3,220,264,moderate
85,80,232,88,2,mild
45,261,296,199,57,moderate
49,282,70,105,96,moderate
291,86,276,85,254,moderate
238,128,107,269,127,moderate
275,213,61,44,297,moderate
115,106,74,74,203,moderate
289,205,122,188,67,moderate
161,190,182,127,116,moderate
123,157,267,125,160,moderate
131,167,195,16,184,moderate
265,173,150,118,48,moderate
283,38,286,93,29,moderate
177,188,267,189,182,severe
127,41,183,204,171,moderate
209,95,121,91,10,moderate
226,294,258,207,183,severe
261,170,193,65,0,moderate
68,297,11,50,81,moderate
268,36,21,224,150,moderate
273,213,161,140,115,moderate
266,135,83,158,167,moderate
179,125,213,234,91,moderate
208,72,270,22,214,moderate
268,282,101,246,77,moderate
38,152,23,86,210,moderate
52,107,262,61,163,moderate
117,18,118,186,211,moderate
287,144,5,18,202,moderate
124,119,55,204,115,moderate
139,152,154,173,1,moderate
5,113,73,268,82,moderate
7,15,292,186,109,moderate
249,274,290,37,233,severe
226,130,177,58,203,moderate
150,61,144,80,246,moderate
25,261,126,183,177,moderate
54,92,8,171,245,moderate
181,22,50,289,189,moderate
192,289,157,107,102,moderate
35,249,21,208,131,moderate
99,265,134,128,299,moderate
137,179,251,49,150,moderate
88,266,219,164,292,severe
277,64,21,26,244,moderate
226,33,13,251,242,moderate
159,193,269,120,38,moderate
151,267,187,182,208,moderate
19,117,224,92,26,mild
91,147,15,244,124,moderate
51,139,38,155,78,mild
118,129,10,299,5,moderate
124,255,273,232,13,moderate
250,296,45,225,211,severe
257,71,285,114,194,moderate
38,157,76,10,241,moderate
284,277,105,158,237,severe
128,296,118,5,292,moderate
157,275,231,12,252,moderate
215,85,10,148,160,moderate
198,267,52,263,281,severe
56,184,15,129,57,mild
93,186,277,140,45,moderate
183,272,187,84,47,moderate
68,12,189,211,112,moderate
81,196,42,229,161,moderate
65,7,93,249,190,moderate
228,263,284,28,34,moderate
208,41,213,248,55,moderate
292,286,22,207,122,moderate
226,97,53,262,122,moderate
143,203,227,45,56,moderate
111,22,177,225,133,moderate
249,122,118,34,240,moderate
32,56,216,141,291,moderate
3,213,93,93,177,moderate
227,184,158,282,118,moderate
203,298,83,79,234,moderate
108,70,174,289,207,moderate
141,274,154,115,69,moderate
280,97,277,92,86,moderate
24,204,166,98,259,moderate
267,283,229,36,70,moderate
196,19,36,78,31,mild
94,183,233,155,292,moderate
117,88,164,147,200,moderate
0,82,9,278,123,mild
67,276,90,180,88,moderate
29,11,192,122,88,mild
49,207,101,172,107,moderate
145,138,171,122,61,moderate
133,281,45,91,185,moderate
170,156,246,43,80,moderate
84,266,209,230,190,moderate
165,143,210,67,194,moderate
131,212,24,249,58,moderate
211,91,286,225,129,moderate
236,122,267,241,207,severe
173,270,21,39,175,moderate
277,60,18,70,212,moderate
31,262,216,187,201,moderate
144,17,72,269,39,moderate
152,8,298,154,49,moderate
253,91,84,133,234,moderate
112,10,248,278,39,moderate
212,85,2,24,101,mild
103,292,149,267,264,severe
50,228,286,133,199,moderate
151,151,251,196,117,moderate
193,55,231,240,38,moderate
198,186,75,224,23,moderate
266,139,139,238,138,moderate
212,235,124,252,3,moderate
36,171,179,230,191,moderate
261,4,110,130,195,moderate
236,32,64,154,293,moderate
140,58,130,45,180,moderate
211,233,260,175,239,severe
169,147,194,281,167,moderate
124,71,179,109,169,moderate
10,29,142,183,290,moderate
89,32,96,6,112,mild
66,289,82,190,179,moderate
98,274,102,293,249,severe
233,128,114,203,186,moderate
53,253,58,77,153,moderate
276,233,13,71,227,moderate
210,89,205,134,101,moderate
145,279,107,127,104,moderate
11,55,167,146,82,mild
130,160,52,194,267,moderate
118,138,70,254,10,moderate
126,281,281,128,73,moderate
222,35,140,209,206,moderate
172,145,43,42,94,mild
36,170,112,232,14,moderate
66,49,150,269,70,moderate
259,51,224,273,41,moderate
261,172,13,26,256,moderate
204,30,297,237,229,moderate
251,261,143,294,209,severe
95,153,125,287,90,moderate
162,95,208,168,260,moderate
225,3,138,248,151,moderate
219,1,81,202,236,moderate
156,9,197,235,275,moderate
166,39,79,247,87,moderate
119,275,78,29,90,moderate
30,150,139,211,96,moderate
7,220,140,75,252,moderate
267,39,31,149,240,moderate
59,105,227,11,181,moderate
52,0,276,29,92,mild
57,81,61,37,97,mild
296,270,219,276,227,severe
293,19,188,196,142,moderate
14,104,274,51,233,moderate
239,180,271,119,144,moderate
212,129,292,143,15,moderate
14,64,187,218,51,moderate
21,17,90,229,60,mild
5,40,182,119,60,mild
282,210,284,143,147,severe
17,84,263,211,112,moderate
185,54,202,89,291,moderate
156,282,275,206,166,severe
248,62,72,199,66,moderate
158,224,126,201,265,moderate
230,273,103,5,185,moderate
84,178,151,226,192,moderate
53,10,170,248,213,moderate
292,95,8,229,275,moderate
143,46,176,183,39,moderate
215,282,68,263,11,moderate
65,264,234,138,114,moderate
297,75,210,203,31,moderate
275,48,299,147,55,moderate
58,135,213,107,63,moderate
252,290,120,156,72,moderate
295,241,168,30,119,moderate
286,45,201,272,225,severe
169,163,77,57,174,moderate
203,183,4,216,65,moderate
39,297,4,277,164,moderate
280,103,112,294,73,moderate
112,95,245,283,146,moderate
123,210,29,201,136,moderate
116,102,290,167,161,moderate
37,116,81,53,105,mild
133,222,224,206,286,severe
273,91,108,76,156,moderate
119,223,76,155,252,moderate
114,274,207,162,62,moderate
46,14,105,186,298,moderate
111,81,262,105,100,moderate
10,219,40,160,26,mild
250,258,142,105,178,moderate
61,198,26,79,96,mild
189,137,158,290,231,severe
139,255,49,282,154,moderate
10,149,18,158,119,mild
209,48,138,259,60,moderate
122,146,245,107,183,moderate
6,2,198,83,166,mild
296,39,144,53,241,moderate
162,134,92,127,59,moderate
65,167,284,179,74,moderate
148,291,118,260,119,moderate
291,26,4,149,122,moderate
102,130,99,6,18,mild
156,243,244,189,1,moderate
217,39,129,48,119,moderate
9,77,214,5,145,mild
98,295,267,88,250,moderate
277,132,47,245,89,moderate
176,228,173,237,177,moderate
115,282,217,153,217,moderate
237,39,28,291,96,moderate
261,215,141,195,283,severe
279,39,189,198,291,moderate
81,271,220,15,22,moderate
257,197,53,120,194,moderate
117,56,244,166,196,moderate
137,215,18,292,48,moderate
95,255,203,191,135,moderate
272,222,8,114,207,moderate
250,41,293,117,250,moderate
133,268,218,62,58,moderate
105,219,114,75,270,moderate
99,123,111,146,180,moderate
244,139,181,254,122,moderate
154,97,57,229,68,moderate
237,96,119,118,126,moderate
177,188,292,53,221,moderate
168,100,38,108,282,moderate
243,65,268,123,281,moderate
76,207,86,244,30,moderate
202,23,237,185,95,moderate
289,174,103,150,118,moderate
157,80,140,267,290,moderate
81,205,115,138,189,moderate
104,100,266,89,210,moderate
238,124,57,164,95,moderate
298,20,212,262,202,moderate
172,137,156,136,28,moderate
60,113,147,294,211,moderate
24,0,13,294,227,moderate
221,219,68,82,13,moderate
111,264,227,81,123,moderate
112,40,221,273,145,moderate
86,21,102,194,226,moderate
124,134,117,293,118,moderate
270,175,66,227,28,moderate
43,6,181,54,133,mild
210,5,48,227,269,moderate
251,207,230,120,159,moderate
203,177,3,131,165,moderate
169,110,164,292,14,moderate
241,99,260,75,2,moderate
63,240,139,190,73,moderate
214,270,133,297,230,severe
228,299,103,156,182,moderate
204,277,177,117,192,moderate
168,84,204,92,63,moderate
220,294,35,19,80,moderate
38,161,110,100,203,moderate
79,38,198,150,34,mild
218,71,209,65,62,moderate
194,89,120,39,145,moderate
103,12,244,282,253,moderate
181,254,263,17,227,moderate
123,204,119,116,90,moderate
233,12,244,166,262,moderate
267,292,31,216,178,moderate
100,197,124,150,2,moderate
238,142,280,200,9,moderate
295,261,47,259,173,severe
233,141,67,229,4,moderate
295,198,190,225,168,severe
118,167,63,66,251,moderate
291,296,124,114,92,moderate
162,115,156,95,148,moderate
29,35,145,281,196,moderate
231,49,161,248,129,moderate
133,68,237,32,113,moderate
51,4,72,117,39,mild
66,299,44,73,250,moderate
21,45,167,42,285,moderate
53,60,209,88,292,moderate
157,282,294,146,203,severe
259,87,223,118,259,moderate
271,208,241,54,24,moderate
256,41,32,201,251,moderate
39,154,144,198,84,moderate
58,47,253,204,198,moderate
3,113,220,150,136,moderate
164,149,176,53,253,moderate
144,61,69,60,83,mild
230,175,120,288,232,severe
183,269,209,19,32,moderate
154,140,109,174,242,moderate
81,82,168,233,88,moderate
209,44,97,194,277,moderate
91,292,280,207,154,severe
239,143,247,153,147,moderate
70,284,75,211,170,moderate
80,276,145,292,57,moderate
101,130,250,62,239,moderate
39,264,2,126,205,moderate
263,292,70,213,56,moderate
119,121,287,287,106,moderate
93,186,40,274,286,moderate
89,271,152,24,274,moderate
177,10,4,6,209,mild
1,42,93,41,109,mild
1,227,224,191,86,moderate
154,56,83,81,66,mild
95,129,117,59,252,moderate
73,3,229,13,275,moderate
282,233,4,284,144,moderate
91,295,61,135,139,moderate
289,46,71,217,143,moderate
221,278,172,105,136,moderate
92,111,284,91,84,moderate
284,248,263,157,169,severe
80,23,80,294,77,moderate
297,105,10,145,127,moderate
231,177,295,93,268,severe
192,35,88,99,285,moderate
132,180,167,28,227,moderate
114,144,82,288,186,moderate
125,88,126,204,183,moderate
131,66,40,44,2,mild
57,74,225,272,231,moderate
181,60,242,282,48,moderate
200,87,167,118,263,moderate
276,226,298,250,261,severe
213,168,118,101,204,moderate
238,158,55,102,208,moderate
177,209,17,141,64,moderate
4,22,65,63,269,mild
153,76,88,30,293,moderate
28,203,38,232,160,moderate
256,152,125,94,299,moderate
188,119,205,46,207,moderate
211,117,197,60,78,moderate
77,252,189,289,132,moderate
270,147,122,7,4,moderate
123,147,262,221,241,moderate
230,79,123,111,204,moderate
129,151,85,203,156,moderate
209,189,196,97,236,moderate
207,130,236,55,105,moderate
91,206,125,284,129,moderate
121,72,178,110,184,moderate
287,284,48,59,183,moderate
30,274,31,11,224,moderate
232,114,161,96,98,moderate
247,114,85,59,295,moderate
263,288,133,86,210,moderate
188,225,73,37,124,moderate
263,276,61,158,158,moderate
91,294,256,121,167,moderate
40,4,32,198,256,moderate
231,200,222,289,117,severe
109,251,96,114,90,moderate
273,125,118,231,133,moderate
182,38,203,196,140,moderate
284,204,129,253,94,moderate
228,75,107,157,138,moderate
176,68,170,296,94,moderate
25,21,278,81,211,moderate
3,245,174,179,189,moderate
179,92,53,221,237,moderate
261,249,130,177,99,moderate
159,81,103,289,32,moderate
106,249,246,243,258,severe
292,175,25,46,90,moderate
68,6,224,44,195,moderate
193,106,134,122,94,moderate
22,217,37,227,35,moderate
204,207,179,138,27,moderate
270,258,179,12,245,moderate
220,95,53,2,61,mild
0,276,40,15,160,mild
107,195,158,115,29,moderate
206,97,177,20,203,moderate
244,80,196,139,116,moderate
78,189,194,239,93,moderate
252,229,41,166,74,moderate
244,127,282,117,156,moderate
272,193,268,42,292,severe
278,102,94,37,127,moderate
88,109,229,134,288,moderate
295,10,0,30,273,moderate
292,165,112,171,59,moderate
170,103,129,119,68,moderate
252,190,145,131,49,moderate
166,236,237,76,179,moderate
104,91,273,39,68,moderate
215,39,77,210,57,moderate
101,292,64,268,59,moderate
214,130,199,194,238,moderate
267,63,286,56,158,moderate
85,198,121,167,58,moderate
83,278,174,49,155,moderate
7,195,249,117,78,moderate
146,36,126,266,169,moderate
203,285,20,79,137,moderate
266,65,106,227,298,moderate
3,156,259,294,85,moderate
265,217,204,90,262,severe
154,82,286,106,163,moderate
216,35,6,16,220,mild
196,254,212,285,34,moderate
124,79,167,163,5,moderate
56,152,47,207,148,moderate
277,297,157,144,212,severe
284,270,13,79,189,moderate
198,124,294,222,197,severe
172,41,47,117,192,moderate
47,50,233,196,43,moderate
214,8,192,91,51,moderate
200,157,146,52,10,moderate
272,107,246,80,242,moderate
233,11,50,161,169,moderate
288,294,289,249,220,severe
293,239,58,86,272,moderate
154,68,88,61,113,mild
284,282,19,224,138,moderate
24,73,274,242,184,moderate
25,107,249,252,277,moderate
139,287,237,119,217,moderate
166,165,240,26,148,moderate
269,115,32,121,204,moderate
174,285,279,23,169,moderate
80,172,213,164,274,moderate
174,130,202,130,198,moderate
10,160,64,119,282,moderate
64,204,286,94,282,moderate
65,42,86,9,83,mild
25,91,288,36,165,moderate
208,166,171,133,105,moderate
34,221,71,294,133,moderate
290,7,169,216,72,moderate
37,70,259,236,192,moderate
211,77,207,218,181,moderate
107,115,72,169,254,moderate
91,57,166,209,59,moderate
5,161,19,297,186,moderate
19,187,275,140,242,moderate
134,113,201,202,15,moderate
124,282,203,215,158,moderate
101,196,165,164,243,moderate
127,0,73,149,143,mild
164,94,70,67,201,moderate
38,25,243,78,121,moderate
219,75,292,140,0,moderate
59,121,295,56,99,moderate
45,228,288,267,119,moderate
197,55,71,134,121,moderate
144,253,11,103,223,moderate
196,251,137,216,276,severe
49,61,115,279,147,moderate
291,72,96,221,8,moderate
200,271,45,269,82,moderate
16,281,118,214,123,moderate
36,192,225,160,257,moderate
147,252,234,0,63,moderate
208,96,175,262,134,moderate
180,290,216,35,230,moderate
98,14,51,217,243,moderate
130,39,41,189,7,mild
188,109,85,32,293,moderate
33,119,113,109,220,moderate
117,269,4,39,216,moderate
32,208,294,57,175,moderate
132,136,54,204,281,moderate
30,225,179,251,156,moderate
130,280,158,145,66,moderate
90,130,4,295,193,moderate
176,130,97,163,38,moderate
19,43,231,57,88,mild
171,104,218,278,22,moderate
121,60,77,153,149,moderate
125,194,19,55,289,moderate
37,295,73,279,283,moderate
73,66,5,64,100,mild
27,273,182,129,39,moderate
281,131,51,122,169,moderate
4,287,233,136,128,moderate
152,121,77,254,145,moderate
154,277,100,171,151,moderate
218,149,194,151,58,moderate
17,171,246,43,52,moderate
172,152,33,80,100,moderate
202,252,289,37,178,moderate
228,258,2,219,242,moderate
264,148,242,28,70,moderate
155,141,225,282,257,severe
12,261,262,166,218,moderate
156,97,287,167,62,moderate
48,177,16,17,293,moderate
78,44,45,23,215,mild
100,49,254,16,250,moderate
68,182,270,254,185,moderate
198,215,113,200,25,moderate
142,204,241,36,169,moderate
77,158,129,205,275,moderate
60,273,142,6,297,moderate
51,219,120,213,201,moderate
40,68,218,2,217,moderate
104,264,205,174,217,moderate
233,176,298,111,157,moderate
209,98,298,74,153,moderate
168,105,178,215,243,moderate
256,167,126,209,253,severe
97,201,183,186,174,moderate
235,249,139,4,257,moderate
135,200,178,277,46,moderate
4,119,63,298,174,moderate
170,249,216,294,7,moderate
71,265,156,244,245,moderate
143,215,163,291,248,severe
219,156,293,124,197,moderate
3,156,176,245,164,moderate
214,181,165,141,29,moderate
194,294,41,48,234,moderate
244,207,190,192,86,moderate
83,256,24,146,13,moderate
292,255,101,98,163,moderate
51,199,115,143,59,moderate
98,118,231,224,159,moderate
278,271,252,19,7,moderate
192,6,262,81,269,moderate
49,183,238,62,172,moderate
51,202,109,83,140,moderate
69,270,81,89,87,moderate
229,121,259,87,103,moderate
115,278,121,15,260,moderate
4,170,11,97,36,mild
141,123,231,289,9,moderate
175,92,66,20,27,mild
183,129,271,120,244,moderate
267,36,100,145,194,moderate
156,105,227,169,71,moderate
136,68,72,54,13,mild
177,185,27,296,252,moderate
190,281,66,124,68,moderate
69,193,11,123,243,moderate
89,217,162,138,144,moderate
217,100,20,232,275,moderate
88,38,243,236,206,moderate
266,273,86,291,129,severe
29,171,168,37,208,moderate
200,189,27,32,21,mild
280,230,251,87,195,severe
130,262,191,72,274,moderate
12,55,269,46,137,moderate
